action,x,y,timestamp,extra1,extra2
move,194,207,1725102744.2878885,,
move,146,243,1725102744.2928035,,
move,113,279,1725102744.3006532,,
move,84,317,1725102744.3077364,,
move,66,344,1725102744.3160658,,
move,55,369,1725102744.3230882,,
move,51,389,1725102744.3284795,,
move,51,407,1725102744.337034,,
move,53,426,1725102744.339638,,
move,59,447,1725102744.3507452,,
move,71,467,1725102744.3577201,,
move,89,497,1725102744.3639488,,
move,119,529,1725102744.369712,,
move,160,559,1725102744.3775928,,
move,205,594,1725102744.3837063,,
move,382,699,1725102744.407018,,
move,452,738,1725102744.4101095,,
move,516,776,1725102744.420606,,
move,589,813,1725102744.4292939,,
move,655,846,1725102744.4340172,,
move,721,876,1725102744.4397242,,
move,790,907,1725102744.445625,,
move,845,928,1725102744.4514747,,
move,906,948,1725102744.46033,,
move,958,964,1725102744.4674432,,
move,1001,975,1725102744.4741778,,
move,1042,986,1725102744.4807396,,
move,1078,992,1725102744.4881744,,
move,1106,994,1725102744.4946368,,
move,1121,994,1725102744.5017388,,
move,1134,993,1725102744.507631,,
move,1145,992,1725102744.5124798,,
move,1149,990,1725102744.5207264,,
move,1151,989,1725102744.5291164,,
move,1152,988,1725102744.5357773,,
move,1153,988,1725102744.5402212,,
move,1153,987,1725102744.5568638,,
move,1153,986,1725102744.560977,,
move,1152,985,1725102744.5698097,,
move,1150,984,1725102744.576896,,
move,1146,980,1725102744.581801,,
move,1138,977,1725102744.5898895,,
move,1125,971,1725102744.596867,,
move,1095,963,1725102744.6041358,,
move,1052,954,1725102744.6102743,,
move,1016,948,1725102744.617985,,
move,984,946,1725102744.6241426,,
move,947,946,1725102744.6303375,,
move,926,946,1725102744.6387916,,
move,908,946,1725102744.6441736,,
move,891,946,1725102744.6483,,
move,868,948,1725102744.658121,,
move,847,950,1725102744.665141,,
move,832,951,1725102744.67205,,
move,820,952,1725102744.6790626,,
move,808,952,1725102744.685895,,
move,796,952,1725102744.6899405,,
move,780,949,1725102744.699684,,
move,766,946,1725102744.7071114,,
move,754,941,1725102744.7080786,,
move,743,933,1725102744.720547,,
move,734,925,1725102744.7274606,,
move,725,912,1725102744.73445,,
move,715,885,1725102744.7413335,,
move,712,856,1725102744.7483835,,
move,770,824,1725102745.118501,,
move,830,794,1725102745.1297636,,
move,869,774,1725102745.1388602,,
move,908,757,1725102745.1445932,,
move,949,744,1725102745.1521883,,
move,984,732,1725102745.1585631,,
move,1002,724,1725102745.1645105,,
move,1018,719,1725102745.17314,,
move,1028,715,1725102745.1794167,,
move,1035,712,1725102745.187093,,
move,1039,711,1725102745.193631,,
move,1042,711,1725102745.1997068,,
move,1044,710,1725102745.2068427,,
move,1044,710,1725102745.2136114,,
move,1045,710,1725102745.2207913,,
move,1046,710,1725102745.227867,,
move,1046,710,1725102745.2721043,,
move,1045,710,1725102745.2776594,,
move,1045,710,1725102745.2887444,,
move,1045,710,1725102745.296793,,
move,1043,710,1725102745.3038733,,
move,1042,710,1725102745.308665,,
move,1042,711,1725102745.3166957,,
move,1040,711,1725102745.3236547,,
move,1039,711,1725102745.3384125,,
move,1039,711,1725102745.3452458,,
move,1038,711,1725102745.3521404,,
move,1037,711,1725102745.360833,,
move,1037,711,1725102745.3779871,,
move,1037,711,1725102745.3799489,,
move,1038,710,1725102745.3979952,,
move,1039,710,1725102745.4129677,,
move,1041,710,1725102745.418,,
move,1045,709,1725102745.4278133,,
move,1053,709,1725102745.4333253,,
move,1068,707,1725102745.4383,,
move,1091,706,1725102745.4479394,,
move,1122,706,1725102745.4525597,,
move,1150,704,1725102745.459607,,
move,1167,704,1725102745.4677143,,
move,1180,704,1725102745.4754553,,
move,1193,704,1725102745.4781592,,
move,1207,704,1725102745.4880197,,
move,1220,704,1725102745.4907146,,
move,1232,704,1725102745.4985168,,
move,1242,703,1725102745.507781,,
move,1239,712,1725102754.3771172,,
move,1235,724,1725102754.3801808,,
move,1232,736,1725102754.3880172,,
move,1228,745,1725102754.396932,,
move,1227,754,1725102754.4028323,,
move,1225,761,1725102754.4091082,,
move,1224,768,1725102754.417993,,
move,1223,775,1725102754.419928,,
move,1221,782,1725102754.4278367,,
move,1219,789,1725102754.4383717,,
move,1218,798,1725102754.441342,,
move,1215,808,1725102754.450194,,
move,1213,819,1725102754.4581776,,
move,1210,830,1725102754.461856,,
move,1207,842,1725102754.4688103,,
move,1203,858,1725102754.478429,,
move,1200,870,1725102754.483585,,
move,1198,880,1725102754.4924142,,
move,1195,889,1725102754.5003562,,
move,1193,896,1725102754.5069869,,
move,1192,901,1725102754.5133939,,
move,1192,904,1725102754.5180898,,
move,1191,908,1725102754.5278742,,
move,1191,910,1725102754.5301423,,
move,1190,912,1725102754.5384326,,
move,1190,915,1725102754.5479767,,
move,1190,917,1725102754.5545502,,
move,1190,919,1725102754.5618763,,
move,1190,921,1725102754.5684495,,
move,1191,924,1725102754.5718405,,
move,1192,925,1725102754.5787163,,
move,1193,928,1725102754.588233,,
move,1194,930,1725102754.5935497,,
move,1195,932,1725102754.6015372,,
move,1196,933,1725102754.6095736,,
move,1197,935,1725102754.615106,,
move,1198,936,1725102754.6203108,,
move,1198,937,1725102754.6304488,,
move,1200,939,1725102754.6376233,,
move,1201,941,1725102754.6438563,,
move,1202,942,1725102754.6511533,,
move,1203,944,1725102754.6579049,,
move,1205,946,1725102754.6620827,,
move,1206,949,1725102754.669052,,
move,1207,950,1725102754.6780512,,
move,1208,953,1725102754.6848395,,
move,1209,956,1725102754.6897485,,
move,1210,959,1725102754.6976006,,
move,1211,961,1725102754.7050614,,
move,1211,965,1725102754.7120738,,
move,1212,968,1725102754.7196248,,
move,1213,973,1725102754.7267096,,
move,1213,980,1725102754.7317016,,
move,1214,987,1725102754.7386956,,
move,1214,995,1725102754.74776,,
move,1214,1004,1725102754.7533238,,
move,1214,1010,1725102754.7595596,,
move,1214,1016,1725102754.767444,,
move,1214,1019,1725102754.7744036,,
move,1214,1023,1725102754.779925,,
move,1214,1026,1725102754.78786,,
move,1214,1027,1725102754.7941592,,
move,1214,1029,1725102754.800971,,
move,1214,1031,1725102754.8075504,,
move,1214,1031,1725102754.8118334,,
move,1214,1032,1725102754.8182971,,
move,1214,1033,1725102754.8279588,,
move,1214,1033,1725102754.8368645,,
move,1214,1034,1725102754.8435416,,
move,1214,1034,1725102754.8475912,,
move,1213,1035,1725102754.862108,,
move,1212,1035,1725102754.8820221,,
move,1211,1035,1725102754.8981638,,
move,1211,1035,1725102754.9083886,,
move,1210,1035,1725102754.9223468,,
move,1209,1035,1725102754.9285073,,
move,1209,1035,1725102754.937669,,
move,1208,1035,1725102754.9484353,,
move,1207,1035,1725102754.9577408,,
move,1206,1035,1725102754.969466,,
move,1206,1035,1725102754.9884076,,
move,1205,1035,1725102755.0084867,,
move,1205,1035,1725102755.0385373,,
move,1205,1034,1725102755.049052,,
move,1205,1034,1725102755.0626955,,
move,1205,1033,1725102755.0678525,,
click,1205,1033,1725102755.2579453,Button.left,True
click,1205,1033,1725102755.487944,Button.left,False
click,141,187,1725102759.2751372,Button.left,True
click,141,187,1725102759.3271701,Button.left,False
move,1050,349,1725102761.0516262,,
move,1050,348,1725102761.0589137,,
move,1050,346,1725102761.0654037,,
move,1051,343,1725102761.072498,,
move,1053,340,1725102761.0793128,,
move,1053,349,1725102761.0865157,,
